entry_time,exit_time,direction,setup_type,entry_price,exit_price,pnl,exit_reason,risk_distance,planned_sl,planned_tp,R,signal_bar_time,range_high,range_low,sweep_bar_idx,compression_atr,partial_tp_hit,partial_exit_time,partial_exit_price,best_price,entry_type
2021-01-17 23:15:00+00:00,2021-01-17 23:40:00+00:00,LONG,VCLSMB,12800.117,12778.864768586007,-1.0,SL,21.252231413993286,12778.864768586007,12842.621462827987,-1.0,2021-01-17 23:10:00+00:00,12779.629,12779.629,4884,2.5474380466471622,False,,,12800.117,first
2021-02-09 00:05:00+00:00,2021-02-09 05:15:00+00:00,SHORT,VCLSMB,13679.319,13691.591007878018,-1.0,SL,12.272007878018485,13691.591007878018,13654.774984243963,-1.0,2021-02-09 00:00:00+00:00,13690.279,13690.279,11220,4.373359593393497,False,,,13679.319,first
2021-02-15 00:20:00+00:00,2021-02-16 14:35:00+00:00,LONG,VCLSMB,13854.099,13818.597950310885,-1.0,SL,35.50104968911546,13818.597950310885,13925.101099378231,-1.0,2021-02-15 00:15:00+00:00,13820.289,13820.289,12948,5.636832297055439,False,,,13854.099,first
2021-02-16 14:45:00+00:00,2021-02-16 16:05:00+00:00,LONG,VCLSMB,13862.319,13815.71911529927,-1.0,SL,46.5998847007304,13815.71911529927,13955.51876940146,-1.0,2021-02-16 14:40:00+00:00,13820.289,13820.289,12948,15.232949002440847,False,,,13862.319,pullback
2021-02-19 01:05:00+00:00,2021-02-19 01:05:00+00:00,LONG,VCLSMB,13641.359,13639.550281525117,-1.0,SL,1.80871847488379,13639.550281525117,13644.976436949768,-1.0,2021-02-19 01:00:00+00:00,13641.859,13641.859,14100,7.695728249614537,False,,,13641.359,first
2021-03-15 23:50:00+00:00,2021-03-16 00:55:00+00:00,SHORT,VCLSMB,13064.497,13085.90067701919,-1.0,SL,21.40367701919058,13085.90067701919,13021.689645961618,-1.0,2021-03-15 23:45:00+00:00,13084.049,13084.049,21288,6.1722567306317675,False,,,13064.497,first
2021-03-16 01:05:00+00:00,2021-03-16 01:05:00+00:00,SHORT,VCLSMB,13083.809,13086.273786801677,-1.0,SL,2.4647868016782013,13086.273786801677,13078.879426396643,-1.0,2021-03-16 01:00:00+00:00,13084.049,13084.049,21288,7.415956005587055,False,,,13083.809,pullback
2021-03-24 22:20:00+00:00,2021-03-24 22:30:00+00:00,SHORT,VCLSMB,12800.027,12816.020513725942,-1.0,SL,15.993513725941739,12816.020513725942,12768.039972548117,-1.0,2021-03-24 22:15:00+00:00,12813.899,12813.899,23880,7.071712419810271,False,,,12800.027,first
2021-03-28 23:30:00+00:00,2021-03-29 05:10:00+00:00,SHORT,VCLSMB,12932.579,12846.00648943833,2.0,TP,43.286255280834666,12975.865255280834,12846.00648943833,2.0,2021-03-28 23:25:00+00:00,12973.797,12973.797,25032,6.894184269443723,False,,,12932.579,first
2021-04-06 22:35:00+00:00,2021-04-07 01:30:00+00:00,LONG,VCLSMB,13594.397,13584.855784936331,-1.0,SL,9.54121506366937,13584.855784936331,13613.47943012734,-1.0,2021-04-06 22:30:00+00:00,13586.019,13586.019,27624,3.8773835455625427,False,,,13594.397,first
2021-04-07 01:40:00+00:00,2021-04-07 01:40:00+00:00,LONG,VCLSMB,13585.547,13584.253287439627,-1.0,SL,1.2937125603730237,13584.253287439627,13588.134425120747,-1.0,2021-04-07 01:35:00+00:00,13586.019,13586.019,27624,5.885708534576859,False,,,13585.547,pullback
2021-05-04 23:30:00+00:00,2021-05-04 23:55:00+00:00,SHORT,VCLSMB,13523.257,13532.86289992706,-1.0,SL,9.605899927060818,13532.86289992706,13504.045200145878,-1.0,2021-05-04 23:25:00+00:00,13531.209,13531.209,35688,5.512999756867423,False,,,13523.257,first
2021-05-11 05:45:00+00:00,2021-05-11 07:10:00+00:00,LONG,VCLSMB,13275.579,13223.640463072654,-1.0,SL,51.93853692734592,13223.640463072654,13379.456073854692,-1.0,2021-05-11 05:40:00+00:00,13242.409,13226.579,37493,9.79512309115264,False,,,13275.579,first
2021-06-25 00:35:00+00:00,2021-06-25 02:20:00+00:00,SHORT,VCLSMB,14351.967,14367.320585949099,-1.0,SL,15.353585949098488,14367.320585949099,14321.259828101804,-1.0,2021-06-25 00:30:00+00:00,14365.879,14365.879,50376,4.805286496991492,False,,,14351.967,first
2021-06-25 02:30:00+00:00,2021-06-25 02:30:00+00:00,SHORT,VCLSMB,14367.317,14367.500929914724,-1.0,SL,0.18392991472501308,14367.500929914724,14366.949140170549,-1.0,2021-06-25 02:25:00+00:00,14365.879,14365.879,50376,5.406433049079464,False,,,14367.317,pullback
2021-08-08 22:30:00+00:00,2021-08-08 23:05:00+00:00,SHORT,VCLSMB,15080.547,15032.07261456855,2.0,TP,24.23719271572554,15104.784192715726,15032.07261456855,2.0,2021-08-08 22:25:00+00:00,15104.069,15104.069,63336,2.383975719088072,False,,,15080.547,first
2021-08-19 22:45:00+00:00,2021-08-20 00:30:00+00:00,SHORT,VCLSMB,14925.077,14942.159334377266,-1.0,SL,17.082334377266307,14942.159334377266,14890.912331245467,-1.0,2021-08-19 22:40:00+00:00,14940.709,14940.709,66504,4.8344479242146585,False,,,14925.077,first
