entry_time,exit_time,direction,setup_type,entry_price,exit_price,pnl,exit_reason,risk_distance,planned_sl,planned_tp,R,signal_bar_time,range_high,range_low,sweep_bar_idx,compression_atr,partial_tp_hit,partial_exit_time,partial_exit_price,best_price
2021-01-17 23:15:00+00:00,2021-01-17 23:40:00+00:00,LONG,VCLSMB,12800.117,12778.864768586007,-1.0,SL,21.252231413993286,12778.864768586007,12842.621462827987,-1.0,2021-01-17 23:10:00+00:00,12779.629,12779.629,4884,2.5474380466471622,False,,,12800.117
2021-02-03 00:40:00+00:00,2021-02-03 14:30:00+00:00,LONG,VCLSMB,13528.327,13490.378765295596,-1.0,SL,37.94823470440315,13490.378765295596,13604.223469408806,-1.0,2021-02-03 00:35:00+00:00,13516.209,13493.319,9493,9.80078234801134,False,,,13528.327
2021-02-04 00:50:00+00:00,2021-02-04 03:45:00+00:00,SHORT,VCLSMB,13430.119,13370.7389069111,2.0,TP,29.690046544450524,13459.809046544451,13370.7389069111,2.0,2021-02-04 00:45:00+00:00,13457.599,13414.999,9781,7.36682181483458,False,,,13430.119
2021-02-09 00:05:00+00:00,2021-02-09 05:15:00+00:00,SHORT,VCLSMB,13679.319,13691.591007878018,-1.0,SL,12.272007878018485,13691.591007878018,13654.774984243963,-1.0,2021-02-09 00:00:00+00:00,13690.279,13690.279,11220,4.373359593393497,False,,,13679.319
2021-02-15 00:20:00+00:00,2021-02-16 14:35:00+00:00,LONG,VCLSMB,13854.099,13818.597950310885,-1.0,SL,35.50104968911546,13818.597950310885,13925.101099378231,-1.0,2021-02-15 00:15:00+00:00,13820.289,13820.289,12948,5.636832297055439,False,,,13854.099
2021-02-18 00:05:00+00:00,2021-02-18 01:35:00+00:00,LONG,VCLSMB,13718.667,13698.074162665027,-1.0,SL,20.5928373349725,13698.074162665027,13759.852674669944,-1.0,2021-02-18 00:00:00+00:00,13699.779,13699.779,13812,5.682791116580368,False,,,13718.667
2021-02-19 01:05:00+00:00,2021-02-19 01:05:00+00:00,LONG,VCLSMB,13641.359,13639.550281525117,-1.0,SL,1.80871847488379,13639.550281525117,13644.976436949768,-1.0,2021-02-19 01:00:00+00:00,13641.859,13641.859,14100,7.695728249614537,False,,,13641.359
2021-03-15 23:50:00+00:00,2021-03-16 00:55:00+00:00,SHORT,VCLSMB,13064.497,13085.90067701919,-1.0,SL,21.40367701919058,13085.90067701919,13021.689645961618,-1.0,2021-03-15 23:45:00+00:00,13084.049,13084.049,21288,6.1722567306317675,False,,,13064.497
2021-03-24 22:20:00+00:00,2021-03-24 22:30:00+00:00,SHORT,VCLSMB,12800.027,12816.020513725942,-1.0,SL,15.993513725941739,12816.020513725942,12768.039972548117,-1.0,2021-03-24 22:15:00+00:00,12813.899,12813.899,23880,7.071712419810271,False,,,12800.027
2021-04-06 22:35:00+00:00,2021-04-07 01:30:00+00:00,LONG,VCLSMB,13594.397,13584.855784936331,-1.0,SL,9.54121506366937,13584.855784936331,13613.47943012734,-1.0,2021-04-06 22:30:00+00:00,13586.019,13586.019,27624,3.8773835455625427,False,,,13594.397
2021-04-11 23:00:00+00:00,2021-04-11 23:35:00+00:00,SHORT,VCLSMB,13811.489,13792.344753031792,2.0,TP,9.57212348410394,13821.061123484104,13792.344753031792,2.0,2021-04-11 22:55:00+00:00,13819.437,13819.437,29064,5.413744947009512,False,,,13811.489
2021-04-22 00:50:00+00:00,2021-04-22 00:50:00+00:00,LONG,VCLSMB,13904.109,13899.256806976831,-1.0,SL,4.852193023169093,13899.256806976831,13913.813386046339,-1.0,2021-04-22 00:45:00+00:00,13914.169,13900.677,31950,4.733976743895868,False,,,13904.109
2021-05-04 22:10:00+00:00,2021-05-04 22:30:00+00:00,SHORT,VCLSMB,13523.489,13532.847062640329,-1.0,SL,9.35806264032908,13532.847062640329,13504.772874719341,-1.0,2021-05-04 22:05:00+00:00,13531.209,13531.209,35688,5.460208801093405,False,,,13523.489
2021-05-11 05:45:00+00:00,2021-05-11 07:10:00+00:00,LONG,VCLSMB,13275.579,13223.640463072654,-1.0,SL,51.93853692734592,13223.640463072654,13379.456073854692,-1.0,2021-05-11 05:40:00+00:00,13242.409,13226.579,37493,9.79512309115264,False,,,13275.579
2021-06-10 19:55:00+00:00,2021-06-14 07:15:00+00:00,LONG,VCLSMB,13961.299,14032.5644369161,2.0,TP,35.63271845804957,13925.666281541951,14032.5644369161,2.0,2021-06-10 19:50:00+00:00,13945.519,13929.019,46290,11.175728193496424,False,,,13961.299
2021-06-17 23:35:00+00:00,2021-06-17 23:35:00+00:00,SHORT,VCLSMB,14184.459,14192.083972142322,-1.0,SL,7.624972142320985,14192.083972142322,14169.209055715359,-1.0,2021-06-17 23:30:00+00:00,14190.787,14176.509,48367,4.323240474405079,False,,,14184.459
2021-06-25 00:00:00+00:00,2021-06-25 02:20:00+00:00,SHORT,VCLSMB,14356.107,14367.146345684074,-1.0,SL,11.03934568407385,14367.146345684074,14334.028308631852,-1.0,2021-06-24 23:55:00+00:00,14365.879,14365.879,50376,4.2244856135764906,False,,,14356.107
2021-07-01 22:10:00+00:00,2021-07-01 22:15:00+00:00,SHORT,VCLSMB,14540.239,14546.705454889698,-1.0,SL,6.4664548896980705,14546.705454889698,14527.306090220603,-1.0,2021-07-01 22:05:00+00:00,14545.989,14545.989,52392,2.3881829656585003,False,,,14540.239
2021-07-09 00:35:00+00:00,2021-07-09 07:00:00+00:00,SHORT,VCLSMB,14692.967,14720.7934919285,-1.0,SL,27.82649192849931,14720.7934919285,14637.314016143002,-1.0,2021-07-09 00:30:00+00:00,14718.339,14718.339,54408,8.181639761666927,False,,,14692.967
2021-08-05 00:10:00+00:00,2021-08-05 06:05:00+00:00,LONG,VCLSMB,15105.059,15086.457623130671,-1.0,SL,18.601376869328305,15086.457623130671,15142.261753738656,-1.0,2021-08-05 00:05:00+00:00,15087.579,15087.579,62184,3.737922897765391,False,,,15105.059
2021-08-19 22:45:00+00:00,2021-08-20 00:30:00+00:00,SHORT,VCLSMB,14925.077,14942.159334377266,-1.0,SL,17.082334377266307,14942.159334377266,14890.912331245467,-1.0,2021-08-19 22:40:00+00:00,14940.709,14940.709,66504,4.8344479242146585,False,,,14925.077
2021-08-22 22:10:00+00:00,2021-08-23 13:35:00+00:00,LONG,VCLSMB,15118.419,15170.432928571428,2.0,TP,26.006964285714275,15092.412035714286,15170.432928571428,2.0,2021-08-22 22:05:00+00:00,15093.109,15093.109,67368,2.3232142857142595,False,,,15118.419
2021-09-01 00:10:00+00:00,2021-09-01 00:10:00+00:00,LONG,VCLSMB,15602.599,15599.203351130964,-1.0,SL,3.3956488690364495,15599.203351130964,15609.390297738073,-1.0,2021-09-01 00:05:00+00:00,15600.159,15600.159,69960,3.1854962301204446,False,,,15602.599
2021-09-12 22:15:00+00:00,2021-09-12 23:30:00+00:00,LONG,VCLSMB,15465.699,15489.921751457729,2.0,TP,12.111375728864004,15453.587624271137,15489.921751457729,2.0,2021-09-12 22:10:00+00:00,15454.319,15454.319,73416,2.437919096209956,False,,,15465.699
2021-10-04 23:20:00+00:00,2021-10-04 23:20:00+00:00,SHORT,VCLSMB,14500.279,14502.970114882542,-1.0,SL,2.691114882542024,14502.970114882542,14494.896770234916,-1.0,2021-10-04 23:15:00+00:00,14500.729,14500.729,79752,7.470382941811911,False,,,14500.279
2021-10-11 22:10:00+00:00,2021-10-11 22:30:00+00:00,SHORT,VCLSMB,14684.489,14704.364352523136,-1.0,SL,19.875352523136826,14704.364352523136,14644.738294953726,-1.0,2021-10-11 22:05:00+00:00,14702.769,14702.769,81768,5.317841743788269,False,,,14684.489
2021-10-20 22:15:00+00:00,2021-10-21 01:50:00+00:00,SHORT,VCLSMB,15359.119,15372.521967678771,-1.0,SL,13.402967678770437,15372.521967678771,15332.31306464246,-1.0,2021-10-20 22:10:00+00:00,15371.379,15371.379,84360,3.809892262566455,False,,,15359.119
2021-10-26 23:45:00+00:00,2021-10-26 23:45:00+00:00,SHORT,VCLSMB,15561.717,15572.40805405944,-1.0,SL,10.69105405943992,15572.40805405944,15540.33489188112,-1.0,2021-10-26 23:40:00+00:00,15570.469,15539.429,86092,6.463513531468296,False,,,15561.717
2021-11-15 23:15:00+00:00,2021-11-16 00:00:00+00:00,SHORT,VCLSMB,16193.619,16203.322980194549,-1.0,SL,9.703980194548421,16203.322980194549,16174.211039610904,-1.0,2021-11-15 23:10:00+00:00,16202.139,16202.139,91860,3.9466006484988077,False,,,16193.619
2021-11-16 23:20:00+00:00,2021-11-16 23:35:00+00:00,SHORT,VCLSMB,16293.299,16301.186176955744,-1.0,SL,7.887176955742689,16301.186176955744,16277.524646088516,-1.0,2021-11-16 23:15:00+00:00,16300.259,16300.259,92148,3.0905898524760995,False,,,16293.299
2021-11-25 01:00:00+00:00,2021-11-25 05:55:00+00:00,LONG,VCLSMB,16375.919,16410.94351079699,2.000000000000104,TP,17.512255398494744,16358.406744601505,16410.94351079699,2.000000000000104,2021-11-25 00:55:00+00:00,16359.969,16359.969,94452,5.207517994982665,False,,,16375.919
2021-11-25 23:35:00+00:00,2021-11-26 02:15:00+00:00,SHORT,VCLSMB,16367.999,16286.501331067335,2.0,TP,40.74883446633248,16408.747834466332,16286.501331067335,2.0,2021-11-25 23:30:00+00:00,16407.139,16407.139,94740,5.362781554440094,False,,,16367.999
2021-12-01 23:25:00+00:00,2021-12-01 23:45:00+00:00,SHORT,VCLSMB,15872.537,15926.55194970844,-1.0,SL,54.01494970844033,15926.55194970844,15764.50710058312,-1.0,2021-12-01 23:20:00+00:00,15921.989,15885.719,96470,15.209832361469983,False,,,15872.537
2021-12-16 01:50:00+00:00,2021-12-16 05:30:00+00:00,SHORT,VCLSMB,16287.557,16334.799727861424,-1.0,SL,47.24272786142319,16334.799727861424,16193.071544277154,-1.0,2021-12-16 01:45:00+00:00,16331.999,16286.259,100504,9.33575953808267,False,,,16287.557
2021-12-21 23:20:00+00:00,2021-12-22 02:50:00+00:00,SHORT,VCLSMB,15962.569,15929.355877727121,2.0,TP,16.606561136439268,15979.175561136439,15929.355877727121,2.0,2021-12-21 23:15:00+00:00,15977.209,15977.209,102228,6.555203788128572,False,,,15962.569
2022-01-05 01:15:00+00:00,2022-01-05 01:30:00+00:00,LONG,VCLSMB,16251.619,16241.328214476005,-1.0,SL,10.29078552399551,16241.328214476005,16272.200571047992,-1.0,2022-01-05 01:10:00+00:00,16273.489,16243.299,105978,6.569285079985446,False,,,16251.619
2022-01-19 23:15:00+00:00,2022-01-19 23:50:00+00:00,SHORT,VCLSMB,15047.079,15015.962155067447,2.0,TP,15.55842246627617,15062.637422466276,15015.962155067447,2.0,2022-01-19 23:10:00+00:00,15060.379,15049.129,110293,7.528074887583914,False,,,15047.079
2022-01-23 23:10:00+00:00,2022-01-24 10:00:00+00:00,LONG,VCLSMB,14486.307,14430.317374489796,-1.0,SL,55.98962551020486,14430.317374489796,14598.28625102041,-1.0,2022-01-23 23:05:00+00:00,14432.869,14432.869,111444,8.505418367346834,False,,,14486.307
2022-02-02 23:10:00+00:00,2022-02-02 23:40:00+00:00,SHORT,VCLSMB,14848.679,14791.995539866086,2.0,TP,28.341730066957098,14877.020730066957,14791.995539866086,2.0,2022-02-02 23:05:00+00:00,14873.279,14873.279,114324,12.472433556524578,False,,,14848.679
2022-02-07 00:10:00+00:00,2022-02-07 01:20:00+00:00,SHORT,VCLSMB,14657.167,14676.972529649309,-1.0,SL,19.805529649309392,14676.972529649309,14617.55594070138,-1.0,2022-02-07 00:05:00+00:00,14672.579,14672.579,115476,14.645098831032119,False,,,14657.167
