tp_multiple,ema_period,or_length_minutes,min_body_ratio,trades,trades_per_year,win_rate,expectancy_r,profit_factor,max_dd_r,tp_hit_rate,eod_exit_rate,avg_r,std_r,max_consec_losses
1.5,50,30,0.2,349,69.8,55.0,0.093,1.26,8.3,15.5,52.7,0.0934,0.9239,7
1.6,50,30,0.2,349,69.8,54.7,0.094,1.26,8.2,13.5,54.4,0.094,0.9387,7
1.8,50,30,0.2,349,69.8,54.7,0.104,1.29,9.3,11.5,56.4,0.1043,0.9642,7
1.3,70,30,0.0,416,83.2,55.0,0.083,1.22,10.1,21.6,45.7,0.0826,0.911,5
1.5,70,30,0.0,416,83.2,54.6,0.09,1.24,9.7,16.8,50.0,0.0895,0.9428,5
1.6,70,30,0.0,416,83.2,54.3,0.092,1.24,9.5,14.9,51.7,0.0923,0.9589,5
1.8,70,30,0.0,416,83.2,54.3,0.105,1.28,9.1,12.5,54.1,0.1052,0.9874,5
1.3,70,30,0.1,380,76.0,54.7,0.077,1.21,10.7,20.8,46.6,0.0774,0.9052,6
1.5,70,30,0.1,380,76.0,54.2,0.079,1.21,10.5,15.5,51.3,0.0792,0.9321,6
1.6,70,30,0.1,380,76.0,53.9,0.079,1.21,10.4,13.4,53.2,0.0794,0.9454,6
1.8,70,30,0.1,380,76.0,53.9,0.089,1.24,10.2,11.3,55.3,0.0889,0.9696,6
1.3,70,30,0.2,339,67.8,55.5,0.095,1.26,8.3,21.2,47.2,0.0948,0.9015,6
1.5,70,30,0.2,339,67.8,54.9,0.093,1.25,8.1,15.3,52.5,0.0927,0.9259,6
1.6,70,30,0.2,339,67.8,54.6,0.093,1.25,8.0,13.3,54.3,0.0927,0.9401,6
1.8,70,30,0.2,339,67.8,54.6,0.102,1.28,8.3,11.2,56.3,0.1021,0.9644,6
