timestamp,open,high,low,close
1772668800000,25136.899,25139.522,25130.686,25136.533
1772668860000,25136.62,25136.62,25129.403,25132.87
1772668920000,25132.566,25132.947,25129.25,25129.649
1772668980000,25129.12,25132.779,25125.764,25132.469
1772669040000,25132.827,25144.75,25131.87,25142.914
1772669100000,25143.783,25153.697,25143.033,25150.577
1772669160000,25150.392,25154.958,25146.555,25150.219
1772669220000,25150.033,25157.055,25149.153,25153.283
1772669280000,25153.425,25156.697,25152.186,25155.719
1772669340000,25155.779,25156.642,25150.425,25154.175
1772669400000,25154.349,25159.649,25148.75,25150.149
1772669460000,25149.761,25155.022,25148.533,25150.903
1772669520000,25150.772,25153.761,25149.131,25151.414
1772669580000,25151.164,25162.794,25150.392,25160.555
1772669640000,25160.708,25166.403,25160.197,25164.283
1772669700000,25164.697,25198.599,25164.131,25197.414
1772669760000,25197.022,25199.399,25186.414,25198.75
1772669820000,25198.338,25206.779,25196.75,25200.62
1772669880000,25200.447,25207.969,25198.958,25207.029
1772669940000,25206.892,25206.892,25191.055,25193.881
1772670000000,25193.664,25196.816,25190.305,25194.208
1772670060000,25194.338,25194.381,25184.142,25187.469
1772670120000,25187,25193.149,25187,25191.599
1772670180000,25190.522,25192.029,25184.649,25187.186
1772670240000,25186.805,25187.425,25180.447,25182.653
1772670300000,25181.5,25184.029,25170.186,25175.642
1772670360000,25174.958,25179.649,25173.066,25175.892
1772670420000,25176.588,25178.055,25173.305,25176.37
1772670480000,25176.164,25183.779,25171.708,25183.779
1772670540000,25182.261,25184.099,25176.22,25178
1772670600000,25178.164,25179.066,25173.219,25178.175
1772670660000,25178.088,25178.261,25167.761,25173.849
1772670720000,25173.522,25177.631,25172.969,25176.219
1772670780000,25175.794,25182.903,25174.892,25181.588
1772670840000,25182.066,25182.827,25171.25,25173.849
1772670900000,25174.12,25174.469,25170.392,25170.816
1772670960000,25170.914,25179.399,25168.044,25175.958
1772671020000,25175.838,25181.25,25171.816,25178.349
1772671080000,25178.838,25184.033,25176.569,25179.219
1772671140000,25179.392,25182.642,25176.75,25182.403
1772671200000,25182.686,25189.029,25182.686,25186.544
1772671260000,25186.37,25193.686,25184.772,25191.349
1772671320000,25190.838,25193.599,25186.686,25188.349
1772671380000,25188.077,25190.555,25171.958,25173.197
1772671440000,25173.588,25179.675,25172.099,25177.62
1772671500000,25177.903,25184.838,25174.47,25181.149
1772671560000,25180.805,25183.279,25174.75,25176.969
1772671620000,25177.099,25178.197,25173.761,25175.708
1772671680000,25175.588,25180.399,25175.055,25178.044
1772671740000,25177.914,25183.349,25177.914,25178.827
1772671800000,25178.969,25182.892,25178.675,25182.447
1772671860000,25182.5,25186.164,25176.197,25176.544
1772671920000,25176.772,25182.149,25176.197,25176.37
1772671980000,25176.675,25178.914,25174.697,25176.947
1772672040000,25176.599,25176.697,25164.099,25168.088
1772672100000,25168.469,25174.279,25168.088,25168.131
1772672160000,25168.25,25171.149,25164.881,25170.838
1772672220000,25170.892,25175.779,25169.708,25173.283
1772672280000,25173.142,25177.631,25172.175,25173.186
1772672340000,25173.022,25176.899,25172.664,25173.783
1772672400000,25176.447,25177.37,25169.827,25174.414
1772672460000,25175.279,25180.175,25169.719,25173.881
1772672520000,25173.649,25173.649,25162.055,25167.029
1772672580000,25167.25,25170.044,25163.279,25168.675
1772672640000,25168.772,25173.903,25165.87,25167.664
1772672700000,25168,25174.029,25166.838,25173.414
1772672760000,25174.164,25178.219,25169.816,25177.62
1772672820000,25177.544,25182.899,25174.816,25176.936
1772672880000,25177.219,25179.403,25173.447,25174.327
1772672940000,25174.37,25178.099,25166.011,25167.555
1772673000000,25167.849,25171.219,25161.664,25163.664
1772673060000,25163.892,25167.881,25150.533,25160.349
1772673120000,25160.649,25167.425,25159.381,25160.686
1772673180000,25160.381,25168.577,25160.294,25168.327
1772673240000,25168.469,25168.779,25158.338,25162.436
1772673300000,25163.029,25163.029,25153.392,25153.392
1772673360000,25153.719,25158.779,25139.533,25139.533
1772673420000,25138.816,25141.697,25123,25124.903
1772673480000,25124.283,25133.186,25122.055,25127.892
1772673540000,25126.903,25130.399,25113.316,25117.925
1772673600000,25118.011,25118.011,25107.272,25115.899
1772673660000,25116.175,25118.779,25099.283,25105.349
1772673720000,25105.849,25122.588,25105.12,25119.566
1772673780000,25118.75,25128.779,25111.936,25126.316
1772673840000,25126.399,25131.055,25117.816,25127.175
1772673900000,25127.447,25137.599,25126.588,25134.153
1772673960000,25134.149,25138.425,25121.653,25122.631
1772674020000,25123.903,25125.305,25116.447,25117.588
1772674080000,25117.958,25122.164,25115.62,25119.099
1772674140000,25119.142,25119.414,25104.653,25105.649
1772674200000,25107.577,25115.805,25103.75,25111.849
1772674260000,25112.066,25112.066,25100.849,25107.936
1772674320000,25107.708,25115.697,25103.881,25107.664
1772674380000,25108.219,25111.219,25105.642,25108.399
1772674440000,25108.958,25111.779,25106.664,25107.381
1772674500000,25107.62,25113.436,25106.827,25109.392
1772674560000,25109.533,25112.175,25105.925,25110
1772674620000,25110.566,25113.099,25102.947,25112.066
1772674680000,25112.599,25133.099,25110.219,25124.12
1772674740000,25124.066,25132.588,25116.099,25129.458
1772674800000,25130.077,25139.947,25126.892,25137.272
1772674860000,25137.544,25137.544,25103.055,25104.469
1772674920000,25104.044,25107.892,25048.175,25050.403
1772674980000,25051.283,25068.414,25049.186,25065.925
1772675040000,25066.022,25070.305,25037.805,25052.327
1772675100000,25052.175,25061.25,25045.511,25054.25
1772675160000,25055.349,25067.279,25055.349,25061.75
1772675220000,25061.675,25082.686,25061.305,25078.316
1772675280000,25079.87,25087.529,25068.436,25069.708
1772675340000,25070.142,25079.25,25061.5,25062.697
1772675400000,25062.903,25065.761,25054.75,25056.349
1772675460000,25057.719,25060.892,25033.175,25034.164
1772675520000,25034.892,25038.761,25029.305,25030.186
1772675580000,25030.892,25034.761,25027.272,25031.566
1772675640000,25031.686,25036.544,25029.219,25033.219
1772675700000,25033.044,25035.283,25015.914,25022.305
1772675760000,25021.529,25022.349,25010.958,25015.175
1772675820000,25015.5,25035.153,25009.783,25034.522
1772675880000,25033.87,25041.37,25031.914,25040.219
1772675940000,25040.529,25042.958,25031.392,25035.827
1772676000000,25035.87,25050.947,25026.219,25043.283
1772676060000,25043.87,25050.022,25038.925,25044.675
1772676120000,25044.849,25050.044,25040.566,25048.936
1772676180000,25049.381,25050.969,25042.544,25042.783
1772676240000,25042.381,25051.794,25042.327,25047.338
1772676300000,25047.37,25052.599,25046.055,25052.25
1772676360000,25052.029,25053.219,25041.511,25044.392
1772676420000,25044.899,25051.529,25038.414,25040.87
1772676480000,25041.642,25051.529,25041.392,25047.533
1772676540000,25047.697,25054.077,25043.849,25049.044
1772676600000,25049.175,25059.066,25047.87,25056.208
1772676660000,25056.033,25056.186,25046.425,25049.779
1772676720000,25049.75,25049.75,25038.62,25042.029
1772676780000,25041.381,25058.219,25040.631,25058.208
1772676840000,25058.066,25060.197,25048.903,25049.425
1772676900000,25049.653,25053.088,25045.544,25049.294
1772676960000,25049.414,25058.903,25048.392,25053.958
1772677020000,25054.088,25055.969,25044.514,25048.772
1772677080000,25048.522,25052.338,25046.783,25051.327
1772677140000,25051.903,25057.899,25044.675,25044.75
1772677200000,25046.142,25047.338,25038.75,25040.761
1772677260000,25040.631,25049.708,25036.899,25040.392
1772677320000,25040.175,25046.914,25038.219,25040.029
1772677380000,25039.708,25039.838,25030.708,25032.164
