sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
0.5,1.3,0.75,12,False,50,36,25.0,-0.25,0.6667,12.0,50,42.0,0.26,1.4483,11.0,,False,1.97560177875068,True
0.5,1.3,0.75,20,False,50,47,23.4,-0.2979,0.6111,15.0,68,39.71,0.1912,1.3171,7.0,,False,1.9151136633070438,True
0.5,1.3,0.75,30,False,50,65,21.54,-0.3538,0.549,23.0,98,35.71,0.0714,1.1111,12.0,,False,1.217781091969007,True
0.5,1.6,0.55,12,False,50,32,34.38,0.0313,1.0476,9.0,48,41.67,0.25,1.4286,7.0,,False,2.1169373696961706,True
0.5,1.6,0.55,20,False,50,44,29.55,-0.1136,0.8387,13.0,61,36.07,0.082,1.1282,9.0,,False,1.269317816922825,True
0.5,1.6,0.55,30,False,50,60,25.0,-0.25,0.6667,20.0,79,32.91,-0.0127,0.9811,14.0,,False,,False
0.5,1.6,0.65,12,False,50,31,35.48,0.0645,1.1,9.0,45,40.0,0.2,1.3333,8.0,,False,1.808013112611353,True
0.5,1.6,0.65,20,False,50,42,30.95,-0.0714,0.8966,11.0,58,34.48,0.0345,1.0526,10.0,,False,0.9884081552340036,True
0.5,1.6,0.65,30,False,50,58,25.86,-0.2241,0.6977,18.0,76,31.58,-0.0526,0.9231,15.0,,False,,False
0.5,1.6,0.75,12,False,50,25,32.0,-0.04,0.9412,7.0,41,39.02,0.1707,1.28,11.0,,False,1.4982874771211245,True
0.5,1.6,0.75,20,False,50,35,28.57,-0.1429,0.8,9.0,52,34.62,0.0385,1.0588,13.0,,False,0.8304769638004526,True
0.5,1.6,0.75,30,False,50,49,24.49,-0.2653,0.6486,15.0,70,31.43,-0.0571,0.9167,18.0,,False,,False
0.75,1.0,0.55,12,False,50,43,16.28,-0.5116,0.3889,22.0,62,41.94,0.2581,1.4444,8.0,,False,2.1680524324334716,True
0.75,1.0,0.55,20,False,50,50,16.0,-0.52,0.381,26.0,75,40.0,0.2,1.3333,7.0,,False,1.9862637244338281,True
0.75,1.0,0.55,30,False,50,62,14.52,-0.5645,0.3396,35.0,84,41.67,0.25,1.4286,8.0,,False,2.217311954690256,True
0.75,1.0,0.65,12,False,50,41,17.07,-0.4878,0.4118,20.0,61,40.98,0.2295,1.3889,8.0,,False,2.022517816922825,True
0.75,1.0,0.65,20,False,50,48,16.67,-0.5,0.4,24.0,74,39.19,0.1757,1.2889,7.0,,False,1.8649273335336756,True
0.75,1.0,0.65,30,False,50,59,15.25,-0.5424,0.36,32.0,83,40.96,0.2289,1.3878,8.0,,False,2.1092890255828043,True
0.75,1.0,0.75,12,False,50,30,20.0,-0.4,0.5,12.0,51,39.22,0.1765,1.2903,12.0,,False,1.5215502484902395,True
0.75,1.0,0.75,20,False,50,35,20.0,-0.4,0.5,14.0,63,38.1,0.1429,1.2308,8.0,,False,1.613070006431261,True
0.75,1.0,0.75,30,False,50,45,17.78,-0.4667,0.4324,21.0,72,40.28,0.2083,1.3488,8.0,,False,1.9645133374595785,True
0.75,1.3,0.55,12,False,50,34,17.65,-0.4706,0.4286,16.0,52,42.31,0.2692,1.4667,8.0,,False,2.1804769638004524,True
0.75,1.3,0.55,20,False,50,39,15.38,-0.5385,0.3636,21.0,65,40.0,0.2,1.3333,6.0,,False,1.9952553679804341,True
0.75,1.3,0.55,30,False,50,50,14.0,-0.58,0.3256,29.0,71,40.85,0.2254,1.381,7.0,,False,2.0939352563109295,True
0.75,1.3,0.65,12,False,50,31,19.35,-0.4194,0.48,13.0,50,42.0,0.26,1.4483,7.0,,False,2.1756017787506803,True
0.75,1.3,0.65,20,False,50,36,16.67,-0.5,0.4,18.0,63,39.68,0.1905,1.3158,6.0,,False,1.9408700064312612,True
