sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,liquidity_level_atr_mult,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
0.35,1.3,0.55,20,6.0,False,50,27,25.93,-0.2222,0.7,14.0,40,37.5,0.125,1.2,8.0,,False,1.4264866859365868,True
0.35,1.3,0.55,20,10.0,False,50,33,24.24,-0.2727,0.64,14.0,47,36.17,0.0851,1.1333,10.0,,False,1.1724202627627425,True
0.35,1.3,0.55,30,2.0,False,50,22,31.82,-0.0455,0.9333,7.0,28,32.14,-0.0357,0.9474,6.0,,False,,False
0.35,1.3,0.55,30,4.0,False,50,32,21.88,-0.3438,0.56,16.0,41,26.83,-0.1951,0.7333,10.0,,False,,False
0.35,1.3,0.55,30,6.0,False,50,36,22.22,-0.3333,0.5714,18.0,56,30.36,-0.0893,0.8718,12.0,,False,,False
0.35,1.3,0.55,30,10.0,False,50,52,21.15,-0.3654,0.5366,20.0,72,29.17,-0.125,0.8235,17.0,,False,,False
0.35,1.3,0.65,12,2.0,False,50,10,40.0,0.2,1.3333,3.0,16,31.25,-0.0625,0.9091,6.0,,False,,False
0.35,1.3,0.65,12,4.0,False,50,13,30.77,-0.0769,0.8889,5.0,20,30.0,-0.1,0.8571,6.0,,False,,False
0.35,1.3,0.65,12,6.0,False,50,16,31.25,-0.0625,0.9091,7.0,25,32.0,-0.04,0.9412,9.0,,False,,False
0.35,1.3,0.65,12,10.0,False,50,22,31.82,-0.0455,0.9333,7.0,28,32.14,-0.0357,0.9474,9.0,,False,,False
0.35,1.3,0.65,20,2.0,False,50,13,38.46,0.1538,1.25,3.0,22,31.82,-0.0455,0.9333,7.0,,False,,False
0.35,1.3,0.65,20,4.0,False,50,19,26.32,-0.2105,0.7143,9.0,27,29.63,-0.1111,0.8421,9.0,,False,,False
0.35,1.3,0.65,20,6.0,False,50,22,27.27,-0.1818,0.75,11.0,37,35.14,0.0541,1.0833,10.0,,False,0.9828036117036555,True
0.35,1.3,0.65,20,10.0,False,50,29,27.59,-0.1724,0.7619,9.0,44,34.09,0.0227,1.0345,11.0,,False,0.8227217232801145,True
0.35,1.3,0.65,30,2.0,False,50,16,31.25,-0.0625,0.9091,5.0,26,26.92,-0.1923,0.7368,10.0,,False,,False
0.35,1.3,0.65,30,4.0,False,50,25,20.0,-0.4,0.5,13.0,39,23.08,-0.3077,0.6,15.0,,False,,False
0.35,1.3,0.65,30,6.0,False,50,29,20.69,-0.3793,0.5217,15.0,53,28.3,-0.1509,0.7895,16.0,,False,,False
0.35,1.3,0.65,30,10.0,False,50,46,21.74,-0.3478,0.5556,17.0,69,27.54,-0.1739,0.76,19.0,,False,,False
0.35,1.3,0.75,12,2.0,False,50,8,25.0,-0.25,0.6667,3.0,9,44.44,0.3333,1.6,3.0,,False,,False
0.35,1.3,0.75,12,4.0,False,50,9,22.22,-0.3333,0.5714,4.0,13,38.46,0.1538,1.25,4.0,,False,,False
0.35,1.3,0.75,12,6.0,False,50,11,27.27,-0.1818,0.75,5.0,17,35.29,0.0588,1.0909,7.0,,False,,False
0.35,1.3,0.75,12,10.0,False,50,16,31.25,-0.0625,0.9091,7.0,21,38.1,0.1429,1.2308,7.0,,False,1.4646080990745425,True
0.35,1.3,0.75,20,2.0,False,50,11,27.27,-0.1818,0.75,3.0,15,40.0,0.2,1.3333,4.0,,False,,False
0.35,1.3,0.75,20,4.0,False,50,14,21.43,-0.3571,0.5455,6.0,21,33.33,0.0,1.0,7.0,,False,,False
0.35,1.3,0.75,20,6.0,False,50,16,25.0,-0.25,0.6667,7.0,28,35.71,0.0714,1.1111,7.0,,False,1.167759134246479,True
0.35,1.3,0.75,20,10.0,False,50,22,27.27,-0.1818,0.75,10.0,35,37.14,0.1143,1.1818,8.0,,False,1.352220764112029,True
0.35,1.3,0.75,30,2.0,False,50,13,23.08,-0.3077,0.6,5.0,18,33.33,0.0,1.0,5.0,,False,,False
0.35,1.3,0.75,30,4.0,False,50,19,15.79,-0.5263,0.375,11.0,31,25.81,-0.2258,0.6957,11.0,,False,,False
0.35,1.3,0.75,30,6.0,False,50,22,18.18,-0.4545,0.4444,12.0,42,28.57,-0.1429,0.8,11.0,,False,,False
0.35,1.3,0.75,30,10.0,False,50,37,21.62,-0.3514,0.5517,15.0,55,30.91,-0.0727,0.8947,13.0,,False,,False
0.35,1.6,0.55,12,2.0,False,50,12,41.67,0.25,1.4286,4.0,15,33.33,0.0,1.0,3.0,,False,,False
0.35,1.6,0.55,12,4.0,False,50,15,33.33,0.0,1.0,7.0,17,35.29,0.0588,1.0909,4.0,,False,,False
0.35,1.6,0.55,12,6.0,False,50,16,37.5,0.125,1.2,7.0,21,38.1,0.1429,1.2308,4.0,,False,1.6146080990745428,True
0.35,1.6,0.55,12,10.0,False,50,19,36.84,0.1053,1.1667,6.0,23,34.78,0.0435,1.0667,4.0,,False,1.1632603241567598,True
0.35,1.6,0.55,20,2.0,False,50,15,40.0,0.2,1.3333,5.0,19,31.58,-0.0526,0.9231,4.0,,False,,False
0.35,1.6,0.55,20,4.0,False,50,19,31.58,-0.0526,0.9231,9.0,23,30.43,-0.087,0.875,4.0,,False,,False
0.35,1.6,0.55,20,6.0,False,50,20,35.0,0.05,1.0769,9.0,29,31.03,-0.069,0.9,8.0,0.9264348781221222,True,,False
0.35,1.6,0.55,20,10.0,False,50,25,32.0,-0.04,0.9412,9.0,35,28.57,-0.1429,0.8,9.0,,False,,False
0.35,1.6,0.55,30,2.0,False,50,17,35.29,0.0588,1.0909,6.0,21,28.57,-0.1429,0.8,6.0,,False,,False
0.35,1.6,0.55,30,4.0,False,50,22,27.27,-0.1818,0.75,11.0,30,26.67,-0.2,0.7273,7.0,,False,,False
0.35,1.6,0.55,30,6.0,False,50,24,29.17,-0.125,0.8235,11.0,36,27.78,-0.1667,0.7692,11.0,,False,,False
0.35,1.6,0.55,30,10.0,False,50,33,30.3,-0.0909,0.8696,8.0,47,27.66,-0.1702,0.7647,10.0,,False,,False
0.35,1.6,0.65,12,2.0,False,50,10,40.0,0.2,1.3333,3.0,13,30.77,-0.0769,0.8889,4.0,,False,,False
0.35,1.6,0.65,12,4.0,False,50,12,33.33,0.0,1.0,5.0,15,33.33,0.0,1.0,3.0,,False,,False
0.35,1.6,0.65,12,6.0,False,50,13,38.46,0.1538,1.25,5.0,19,36.84,0.1053,1.1667,5.0,,False,,False
0.35,1.6,0.65,12,10.0,False,50,17,41.18,0.2353,1.4,4.0,21,33.33,0.0,1.0,5.0,,False,,False
0.35,1.6,0.65,20,2.0,False,50,13,38.46,0.1538,1.25,4.0,17,29.41,-0.1176,0.8333,6.0,,False,,False
0.35,1.6,0.65,20,4.0,False,50,16,31.25,-0.0625,0.9091,7.0,21,28.57,-0.1429,0.8,6.0,,False,,False
0.35,1.6,0.65,20,6.0,False,50,17,35.29,0.0588,1.0909,7.0,27,29.63,-0.1111,0.8421,9.0,,False,,False
0.35,1.6,0.65,20,10.0,False,50,23,34.78,0.0435,1.0667,6.0,33,27.27,-0.1818,0.75,11.0,1.0632603241567598,True,,False
0.35,1.6,0.65,30,2.0,False,50,15,33.33,0.0,1.0,5.0,19,26.32,-0.2105,0.7143,8.0,,False,,False
0.35,1.6,0.65,30,4.0,False,50,19,26.32,-0.2105,0.7143,9.0,28,25.0,-0.25,0.6667,9.0,,False,,False
0.35,1.6,0.65,30,6.0,False,50,21,28.57,-0.1429,0.8,9.0,34,26.47,-0.2059,0.72,12.0,,False,,False
0.35,1.6,0.65,30,10.0,False,50,31,32.26,-0.0323,0.9524,6.0,45,26.67,-0.2,0.7273,11.0,,False,,False
0.35,1.6,0.75,12,2.0,False,50,7,28.57,-0.1429,0.8,2.0,7,42.86,0.2857,1.5,2.0,,False,,False
0.35,1.6,0.75,12,4.0,False,50,8,25.0,-0.25,0.6667,3.0,8,50.0,0.5,2.0,1.0,,False,,False
0.35,1.6,0.75,12,6.0,False,50,9,33.33,0.0,1.0,3.0,11,45.45,0.3636,1.6667,3.0,,False,,False
0.35,1.6,0.75,12,10.0,False,50,12,33.33,0.0,1.0,4.0,14,42.86,0.2857,1.5,3.0,,False,,False
0.35,1.6,0.75,20,2.0,False,50,10,30.0,-0.1,0.8571,3.0,11,36.36,0.0909,1.1429,4.0,,False,,False
0.35,1.6,0.75,20,4.0,False,50,12,25.0,-0.25,0.6667,5.0,14,35.71,0.0714,1.1111,4.0,,False,,False
0.35,1.6,0.75,20,6.0,False,50,13,30.77,-0.0769,0.8889,5.0,18,33.33,0.0,1.0,6.0,,False,,False
0.35,1.6,0.75,20,10.0,False,50,17,29.41,-0.1176,0.8333,7.0,24,33.33,0.0,1.0,7.0,,False,,False
0.35,1.6,0.75,30,2.0,False,50,11,27.27,-0.1818,0.75,4.0,13,30.77,-0.0769,0.8889,5.0,,False,,False
0.35,1.6,0.75,30,4.0,False,50,14,21.43,-0.3571,0.5455,7.0,21,28.57,-0.1429,0.8,6.0,,False,,False
0.35,1.6,0.75,30,6.0,False,50,16,25.0,-0.25,0.6667,7.0,25,28.0,-0.16,0.7778,7.0,,False,,False
0.35,1.6,0.75,30,10.0,False,50,24,29.17,-0.125,0.8235,6.0,35,31.43,-0.0571,0.9167,7.0,,False,,False
0.5,1.0,0.55,12,2.0,False,50,17,41.18,0.2353,1.4,3.0,19,36.84,0.1053,1.1667,3.0,,False,,False
0.5,1.0,0.55,12,4.0,False,50,21,33.33,0.0,1.0,5.0,24,37.5,0.125,1.2,4.0,,False,1.546446425781928,True
0.5,1.0,0.55,12,6.0,False,50,26,30.77,-0.0769,0.8889,9.0,30,36.67,0.1,1.1579,5.0,,False,1.4105800232210552,True
0.5,1.0,0.55,12,10.0,False,50,31,29.03,-0.129,0.8182,9.0,33,36.36,0.0909,1.1429,5.0,,False,1.3832985113268776,True
0.5,1.0,0.55,20,2.0,False,50,18,38.89,0.1667,1.2727,4.0,24,37.5,0.125,1.2,3.0,,False,1.596446425781928,True
0.5,1.0,0.55,20,4.0,False,50,24,29.17,-0.125,0.8235,7.0,31,35.48,0.0645,1.1,4.0,,False,1.3012261991466958,True
0.5,1.0,0.55,20,6.0,False,50,29,27.59,-0.1724,0.7619,11.0,45,35.56,0.0667,1.1034,6.0,,False,1.2782131126113527,True
0.5,1.0,0.55,20,10.0,False,50,38,28.95,-0.1316,0.8148,12.0,52,34.62,0.0385,1.0588,8.0,,False,1.0804769638004526,True
0.5,1.0,0.55,30,2.0,False,50,24,33.33,0.0,1.0,6.0,27,33.33,0.0,1.0,4.0,,False,,False
0.5,1.0,0.55,30,4.0,False,50,31,25.81,-0.2258,0.6957,10.0,40,30.0,-0.1,0.8571,6.0,,False,,False
0.5,1.0,0.55,30,6.0,False,50,38,23.68,-0.2895,0.6207,15.0,62,29.03,-0.129,0.8182,12.0,,False,,False
0.5,1.0,0.55,30,10.0,False,50,53,24.53,-0.2642,0.65,18.0,74,28.38,-0.1486,0.7925,16.0,,False,,False
0.5,1.0,0.65,12,2.0,False,50,13,46.15,0.3846,1.7143,3.0,18,27.78,-0.1667,0.7692,7.0,,False,,False
0.5,1.0,0.65,12,4.0,False,50,16,37.5,0.125,1.2,4.0,23,30.43,-0.087,0.875,7.0,,False,,False
0.5,1.0,0.65,12,6.0,False,50,21,33.33,0.0,1.0,8.0,29,31.03,-0.069,0.9,11.0,,False,,False
0.5,1.0,0.65,12,10.0,False,50,27,33.33,0.0,1.0,7.0,32,31.25,-0.0625,0.9091,11.0,,False,,False
0.5,1.0,0.65,20,2.0,False,50,14,42.86,0.2857,1.5,4.0,23,30.43,-0.087,0.875,6.0,,False,,False
0.5,1.0,0.65,20,4.0,False,50,19,31.58,-0.0526,0.9231,6.0,30,30.0,-0.1,0.8571,8.0,,False,,False
0.5,1.0,0.65,20,6.0,False,50,24,29.17,-0.125,0.8235,10.0,43,32.56,-0.0233,0.9655,10.0,,False,,False
0.5,1.0,0.65,20,10.0,False,50,32,31.25,-0.0625,0.9091,9.0,50,32.0,-0.04,0.9412,10.0,,False,,False
0.5,1.0,0.65,30,2.0,False,50,20,35.0,0.05,1.0769,5.0,26,26.92,-0.1923,0.7368,8.0,1.1264348781221223,True,,False
0.5,1.0,0.65,30,4.0,False,50,26,26.92,-0.1923,0.7368,9.0,39,25.64,-0.2308,0.6897,10.0,,False,,False
0.5,1.0,0.65,30,6.0,False,50,33,24.24,-0.2727,0.64,14.0,60,26.67,-0.2,0.7273,16.0,,False,,False
0.5,1.0,0.65,30,10.0,False,50,47,25.53,-0.234,0.6857,14.0,72,26.39,-0.2083,0.717,19.0,,False,,False
0.5,1.0,0.75,12,2.0,False,50,8,37.5,0.125,1.2,2.0,10,40.0,0.2,1.3333,4.0,,False,,False
0.5,1.0,0.75,12,4.0,False,50,12,41.67,0.25,1.4286,3.0,15,33.33,0.0,1.0,6.0,,False,,False
0.5,1.0,0.75,12,6.0,False,50,15,40.0,0.2,1.3333,4.0,19,31.58,-0.0526,0.9231,9.0,,False,,False
0.5,1.0,0.75,12,10.0,False,50,19,36.84,0.1053,1.1667,5.0,23,34.78,0.0435,1.0667,9.0,,False,0.9132603241567598,True
0.5,1.0,0.75,20,2.0,False,50,9,33.33,0.0,1.0,3.0,15,40.0,0.2,1.3333,3.0,,False,,False
0.5,1.0,0.75,20,4.0,False,50,14,35.71,0.0714,1.1111,4.0,24,29.17,-0.125,0.8235,7.0,,False,,False
