sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
0.5,1.3,0.75,30,False,50,79,22.78,-0.3165,0.5902,25.0,114,32.46,-0.0263,0.961,16.0,,False,,False
0.5,1.6,0.55,12,False,50,52,34.62,0.0385,1.0588,8.0,64,37.5,0.125,1.2,7.0,0.9302999999999999,True,1.417,True
0.5,1.6,0.55,20,False,50,64,31.25,-0.0625,0.9091,11.0,79,32.91,-0.0127,0.9811,10.0,,False,,False
0.5,1.6,0.55,30,False,50,81,27.16,-0.1852,0.7458,19.0,98,30.61,-0.0816,0.8824,14.0,,False,,False
0.5,1.6,0.65,12,False,50,48,35.42,0.0625,1.0968,8.0,60,35.0,0.05,1.0769,10.0,1.0283,True,0.9069,True
0.5,1.6,0.65,20,False,50,59,32.2,-0.0339,0.95,9.0,75,30.67,-0.08,0.8846,13.0,,False,,False
0.5,1.6,0.65,30,False,50,76,27.63,-0.1711,0.7636,17.0,94,28.72,-0.1383,0.806,17.0,,False,,False
0.5,1.6,0.75,12,False,50,36,30.56,-0.0833,0.88,9.0,52,34.62,0.0385,1.0588,12.0,,False,0.7303,True
0.5,1.6,0.75,20,False,50,46,28.26,-0.1522,0.7879,11.0,65,30.77,-0.0769,0.8889,15.0,,False,,False
0.5,1.6,0.75,30,False,50,61,24.59,-0.2623,0.6522,18.0,84,28.57,-0.1429,0.8,20.0,,False,,False
0.75,1.0,0.55,12,False,50,71,22.54,-0.3239,0.5818,23.0,84,38.1,0.1429,1.2308,8.0,,False,1.5115,True
0.75,1.0,0.55,20,False,50,78,21.79,-0.3462,0.5574,27.0,98,36.73,0.102,1.1613,11.0,,False,1.2113,True
0.75,1.0,0.55,30,False,50,92,19.57,-0.413,0.4865,38.0,108,37.96,0.1389,1.2239,13.0,,False,1.2906,True
0.75,1.0,0.65,12,False,50,65,26.15,-0.2154,0.7083,14.0,82,35.37,0.061,1.0943,14.0,,False,0.8233000000000001,True
0.75,1.0,0.65,20,False,50,72,25.0,-0.25,0.6667,19.0,96,34.38,0.0312,1.0476,12.0,,False,0.8291999999999999,True
0.75,1.0,0.65,30,False,50,85,22.35,-0.3294,0.5758,28.0,106,35.85,0.0755,1.1176,13.0,,False,0.9940999999999998,True
