entry_time,exit_time,direction,setup_type,entry_price,exit_price,pnl,exit_reason,risk_distance,realized_distance,planned_sl,planned_tp,R,partial_tp_hit,partial_exit_time,partial_exit_price,entry_bar_time,exit_bar_time,entry_bar_low,entry_bar_high,exit_bar_low,exit_bar_high,entry_feasible,exit_feasible,violated_side
2021-02-05T18:45:00+00:00,2021-02-10T07:45:00+00:00,LONG,BOS,13591.03219211308,13774.13018938064,18309799.726755954,TP,73.23919890702382,183.09799726755955,13517.792993206056,13774.13018938064,2.5,False,,,2021-02-05T18:45:00+00:00,2021-02-10T07:45:00+00:00,13591.029,13623.407,13764.619,13775.409,True,True,none
2021-02-18T14:30:00+00:00,2021-02-18T19:00:00+00:00,SHORT,BOS,13567.457497413625,13627.930509669195,-6047301.225557021,SL,60.47301225557021,-60.47301225557021,13627.930509669195,13416.2749667747,-1.0,False,,,2021-02-18T14:30:00+00:00,2021-02-18T19:00:00+00:00,13527.059,13573.069,13603.079,13632.069,True,True,none
2021-02-23T15:00:00+00:00,2021-02-23T15:45:00+00:00,SHORT,BOS,12959.88900890096,13055.541876664438,-9565286.776347784,SL,95.65286776347784,-95.65286776347784,13055.541876664438,12720.756839492265,-1.0,False,,,2021-02-23T15:00:00+00:00,2021-02-23T15:45:00+00:00,12867.819,12976.079,13038.559,13104.899,True,True,none
2021-02-26T21:00:00+00:00,2021-03-01T07:15:00+00:00,SHORT,BOS,12893.065473469607,13134.387195820844,-24132172.235123653,SL,241.32172235123653,-241.32172235123653,13134.387195820844,12289.761167591516,-1.0,False,,,2021-02-26T21:00:00+00:00,2021-03-01T07:15:00+00:00,12859.659,12928.129,13099.089,13136.189,True,True,none
2021-03-02T14:30:00+00:00,2021-03-02T14:45:00+00:00,LONG,BOS,13292.01236510888,13221.509458760065,-7050290.634881457,SL,70.50290634881458,-70.50290634881458,13221.509458760065,13468.269630980916,-1.0,False,,,2021-03-02T14:30:00+00:00,2021-03-02T14:45:00+00:00,13212.779,13307.287,13183.219,13243.299,True,True,none
2021-03-04T18:00:00+00:00,2021-03-09T18:30:00+00:00,SHORT,BOS,12489.803716685898,12844.45186703373,-35464815.03478317,SL,354.6481503478317,-354.6481503478317,12844.45186703373,11603.183340816318,-1.0,False,,,2021-03-04T18:00:00+00:00,2021-03-09T18:30:00+00:00,12435.009,12525.867,12824.999,12860.189,True,True,none
2021-03-16T13:30:00+00:00,2021-03-16T14:15:00+00:00,LONG,BOS,13162.80460780918,13262.120978974785,9931637.116560522,TP,39.72654846624209,99.31637116560523,13123.078059342937,13262.120978974785,2.5,False,,,2021-03-16T13:30:00+00:00,2021-03-16T14:15:00+00:00,13144.069,13201.319,13234.259,13269.339,True,True,none
2021-03-23T14:15:00+00:00,2021-03-23T19:15:00+00:00,LONG,BOS,13109.716454529154,13013.20003465726,-9651641.987189395,SL,96.51641987189396,-96.51641987189396,13013.20003465726,13351.00750420889,-1.0,False,,,2021-03-23T14:15:00+00:00,2021-03-23T19:15:00+00:00,13107.599,13144.707,13007.689,13041.487,True,True,none
2021-04-06T13:30:00+00:00,2021-04-07T13:30:00+00:00,LONG,BOS,13580.606875373696,13533.725621445466,-4688125.392822986,SL,46.88125392822985,-46.88125392822985,13533.725621445466,13697.810010194271,-1.0,False,,,2021-04-06T13:30:00+00:00,2021-04-07T13:30:00+00:00,13549.139,13595.679,13521.349,13568.087,True,True,none
2021-04-16T13:30:00+00:00,2021-04-16T13:45:00+00:00,LONG,BOS,14000.91713136914,13962.32846257326,-3858866.879588095,SL,38.58866879588095,-38.58866879588095,13962.32846257326,14097.388803358843,-1.0,False,,,2021-04-16T13:30:00+00:00,2021-04-16T13:45:00+00:00,13981.429,14045.579,13960.609,14004.319,True,True,none
2021-06-24T17:15:00+00:00,2021-06-24T17:30:00+00:00,LONG,BOS,14372.165033715537,14373.667,150196.6284462469,SL_intrabar_conflict,7.804969892413283,1.501966284462469,14379.97000360795,14352.652608984503,0.19243716569905484,False,,,2021-06-24T17:15:00+00:00,2021-06-24T17:30:00+00:00,14353.449,14389.587,14348.419,14373.667,True,True,none
2021-07-20T13:45:00+00:00,2021-07-20T14:45:00+00:00,SHORT,BOS,14587.975999409606,14643.714953294659,-5573895.388505298,SL,55.73895388505298,-55.73895388505298,14643.714953294659,14448.628614696972,-1.0,False,,,2021-07-20T13:45:00+00:00,2021-07-20T14:45:00+00:00,14538.679,14595.709,14636.509,14671.539,True,True,none
2021-08-27T13:30:00+00:00,2021-08-27T14:00:00+00:00,SHORT,BOS,15310.405352009335,15342.560859985553,-3215550.797621836,SL,32.15550797621836,-32.15550797621836,15342.560859985553,15230.016582068789,-1.0,False,,,2021-08-27T13:30:00+00:00,2021-08-27T14:00:00+00:00,15289.719,15337.549,15288.029,15402.269,True,True,none
2021-09-02T13:30:00+00:00,2021-09-02T14:00:00+00:00,LONG,BOS,15652.905852411373,15629.565061744304,-2334079.066706909,SL,23.340790667069086,-23.340790667069086,15629.565061744304,15711.257829079046,-1.0,False,,,2021-09-02T13:30:00+00:00,2021-09-02T14:00:00+00:00,15652.459,15680.959,15628.729,15660.389,True,True,none
2021-09-30T17:00:00+00:00,2021-10-04T14:15:00+00:00,SHORT,BOS,14775.50132864944,14530.829769264361,24467155.93850786,TP,97.86862375403143,244.67155938507858,14873.369952403471,14530.829769264361,2.5,False,,,2021-09-30T17:00:00+00:00,2021-10-04T14:15:00+00:00,14719.009,14777.899,14522.139,14574.719,True,True,none
2021-10-20T14:30:00+00:00,2021-10-20T17:00:00+00:00,LONG,BOS,15438.603114410045,15389.972037222551,-4863107.718749416,SL,48.63107718749416,-48.63107718749416,15389.972037222551,15560.18080737878,-1.0,False,,,2021-10-20T14:30:00+00:00,2021-10-20T17:00:00+00:00,15436.619,15459.809,15369.259,15408.359,True,True,none
2021-11-10T13:45:00+00:00,2021-11-15T13:00:00+00:00,SHORT,BOS,16109.98199069989,16258.699562012076,-14871757.131218692,SL,148.71757131218692,-148.71757131218692,16258.699562012076,15738.188062419422,-1.0,False,,,2021-11-10T13:45:00+00:00,2021-11-15T13:00:00+00:00,16086.139,16120.807,16237.039,16263.989,True,True,none
2021-11-17T15:45:00+00:00,2021-11-19T01:45:00+00:00,LONG,BOS,16335.555056362664,16520.92487962487,18536982.32622046,TP,74.14792930488147,185.3698232622046,16261.407127057782,16520.92487962487,2.5000000000000124,False,,,2021-11-17T15:45:00+00:00,2021-11-19T01:45:00+00:00,16329.929,16354.699,16501.759,16540.879,True,True,none
2021-11-19T15:00:00+00:00,2021-11-22T16:45:00+00:00,LONG,BOS,16582.843709188364,16504.71683101801,-7812687.817035476,SL,78.12687817035476,-78.12687817035476,16504.71683101801,16778.16090461425,-1.0,False,,,2021-11-19T15:00:00+00:00,2021-11-22T16:45:00+00:00,16574.609,16620.899,16455.659,16600.839,True,True,none
2021-11-24T15:00:00+00:00,2021-11-24T16:15:00+00:00,SHORT,BOS,16218.615267628818,16294.275925150523,-7566065.752170471,SL,75.6606575217047,-75.6606575217047,16294.275925150523,16029.463623824557,-1.0,False,,,2021-11-24T15:00:00+00:00,2021-11-24T16:15:00+00:00,16154.959,16241.199,16268.979,16324.929,True,True,none
2021-11-30T14:00:00+00:00,2021-11-30T15:45:00+00:00,LONG,BOS,16344.892811091728,16267.539530453278,-7735328.063845009,SL,77.35328063845009,-77.35328063845009,16267.539530453278,16538.276012687853,-1.0,False,,,2021-11-30T14:00:00+00:00,2021-11-30T15:45:00+00:00,16343.539,16373.899,16142.649,16353.409,True,True,none
2021-12-22T15:00:00+00:00,2021-12-23T14:30:00+00:00,LONG,BOS,15997.689508059215,16242.630452144484,24494094.40852687,TP,97.97637763410785,244.9409440852687,15899.713130425107,16242.630452144484,2.4999999999999907,False,,,2021-12-22T15:00:00+00:00,2021-12-23T14:30:00+00:00,15957.297,16033.379,16185.769,16245.659,True,True,none
2022-01-07T16:15:00+00:00,2022-01-12T05:30:00+00:00,SHORT,BOS,15614.028848139347,15864.017444264975,-24998859.612562772,SL,249.98859612562774,-249.98859612562774,15864.017444264975,14989.057357825277,-1.0,False,,,2022-01-07T16:15:00+00:00,2022-01-12T05:30:00+00:00,15545.729,15628.689,15847.129,15879.399,True,True,none
2022-01-19T17:00:00+00:00,2022-01-20T20:45:00+00:00,SHORT,BOS,15249.658444203416,14847.241746682601,40241669.75208154,TP,160.96667900832654,402.41669752081543,15410.625123211743,14847.241746682601,2.4999999999999942,False,,,2022-01-19T17:00:00+00:00,2022-01-20T20:45:00+00:00,15204.599,15295.289,14828.609,14931.549,True,True,none
2022-03-17T14:15:00+00:00,2022-03-17T15:00:00+00:00,LONG,BOS,13941.637124753612,13848.45447208027,-9318265.26733421,SL,93.18265267334209,-93.18265267334209,13848.45447208027,14174.593756436967,-1.0,False,,,2022-03-17T14:15:00+00:00,2022-03-17T15:00:00+00:00,13927.249,13972.597,13845.909,13907.709,True,True,none
2022-05-10T15:00:00+00:00,2022-05-17T22:00:00+00:00,SHORT,BOS,12273.480540633345,12580.850925210298,-30737038.457695235,SL,307.37038457695235,-307.37038457695235,12580.850925210298,11505.054579190964,-1.0,False,,,2022-05-10T15:00:00+00:00,2022-05-17T22:00:00+00:00,12168.689,12303.699,12568.999,12586.809,True,True,none
2022-06-14T13:45:00+00:00,2022-06-15T12:45:00+00:00,SHORT,BOS,11309.225743410145,11467.679563770012,-15845382.035986768,SL,158.45382035986768,-158.45382035986768,11467.679563770012,10913.091192510476,-1.0,False,,,2022-06-14T13:45:00+00:00,2022-06-15T12:45:00+00:00,11263.699,11380.597,11439.039,11483.879,True,True,none
2022-07-08T14:30:00+00:00,2022-07-11T13:30:00+00:00,LONG,BOS,12086.857874746045,11899.668955750169,-18718891.899587654,SL,187.18891899587652,-187.18891899587652,11899.668955750169,12554.830172235736,-1.0,False,,,2022-07-08T14:30:00+00:00,2022-07-11T13:30:00+00:00,12084.219,12130.209,11862.089,12033.169,True,True,none
2022-08-26T13:45:00+00:00,2022-08-26T14:00:00+00:00,LONG,BOS,13090.1362834326,13059.543247630332,-3059303.580226697,SL_intrabar_conflict,30.593035802266968,-30.593035802266968,13059.543247630332,13166.618872938267,-1.0,False,,,2022-08-26T13:45:00+00:00,2022-08-26T14:00:00+00:00,13073.809,13131.119,12980.809,13184.987,True,True,none
2022-09-16T14:00:00+00:00,2022-09-16T19:00:00+00:00,SHORT,BOS,11772.939157722032,11858.500533545719,-8556137.582368683,SL,85.56137582368683,-85.56137582368683,11858.500533545719,11559.035718162815,-1.0,False,,,2022-09-16T14:00:00+00:00,2022-09-16T19:00:00+00:00,11716.909,11810.999,11813.289,11870.809,True,True,none
2022-09-23T14:00:00+00:00,2022-09-27T13:30:00+00:00,SHORT,BOS,11305.612200234842,11487.807618684172,-18219541.844932973,SL,182.19541844932974,-182.19541844932974,11487.807618684172,10850.123654111518,-1.0,False,,,2022-09-23T14:00:00+00:00,2022-09-27T13:30:00+00:00,11275.779,11326.379,11399.739,11506.229,True,True,none
2022-10-12T13:30:00+00:00,2022-10-13T12:15:00+00:00,SHORT,BOS,10845.400756169629,10930.785404824257,-8538464.865462812,SL,85.38464865462811,-85.38464865462811,10930.785404824257,10631.939134533059,-1.0,False,,,2022-10-12T13:30:00+00:00,2022-10-13T12:15:00+00:00,10751.199,10876.679,10865.289,10941.709,True,True,none
2022-11-04T16:45:00+00:00,2022-11-07T19:30:00+00:00,SHORT,BOS,10666.814767176656,10967.002860321842,-30018809.31451851,SL,300.1880931451851,-300.1880931451851,10967.002860321842,9916.344534313694,-1.0,False,,,2022-11-04T16:45:00+00:00,2022-11-07T19:30:00+00:00,10661.129,10694.987,10957.619,10989.799,True,True,none
2022-11-08T16:00:00+00:00,2022-11-08T19:15:00+00:00,LONG,BOS,11076.653126647414,10955.101447249892,-12155167.93975221,SL,121.5516793975221,-121.5516793975221,10955.101447249892,11380.53232514122,-1.0,False,,,2022-11-08T16:00:00+00:00,2022-11-08T19:15:00+00:00,11074.927,11121.089,10905.749,11009.259,True,True,none
2022-11-22T14:45:00+00:00,2022-11-22T15:45:00+00:00,SHORT,BOS,11525.826300717326,11594.33448698509,-6850818.626776345,SL,68.50818626776345,-68.50818626776345,11594.33448698509,11354.555835047919,-1.0,False,,,2022-11-22T14:45:00+00:00,2022-11-22T15:45:00+00:00,11496.639,11527.089,11576.819,11628.299,True,True,none
2022-12-09T13:15:00+00:00,2022-12-09T13:30:00+00:00,LONG,BOS,11701.793727626835,11646.832397720378,-5496132.990645674,SL,54.96132990645674,-54.96132990645674,11646.832397720378,11839.197052392978,-1.0,False,,,2022-12-09T13:15:00+00:00,2022-12-09T13:30:00+00:00,11697.019,11717.599,11507.799,11725.779,True,True,none
2022-12-13T17:30:00+00:00,2022-12-13T17:45:00+00:00,LONG,BOS,11741.425180732684,11779.837,3841181.926731588,SL_intrabar_conflict,138.40541318610667,38.41181926731588,11879.83059391879,11395.411647767418,0.2775311917581249,False,,,2022-12-13T17:30:00+00:00,2022-12-13T17:45:00+00:00,11715.389,11777.389,11723.109,11779.837,True,True,none
2022-12-13T19:45:00+00:00,2022-12-14T19:30:00+00:00,LONG,BOS,11862.277658400613,11683.77436199905,-17850329.64015627,SL,178.5032964015627,-178.5032964015627,11683.77436199905,12308.53589940452,-1.0,False,,,2022-12-13T19:45:00+00:00,2022-12-14T19:30:00+00:00,11800.219,11877.487,11603.259,11764.119,True,True,none
2022-12-21T19:15:00+00:00,2022-12-22T12:15:00+00:00,LONG,BOS,11278.694057024404,11186.873554605088,-9182050.241931574,SL,91.82050241931574,-91.82050241931574,11186.873554605088,11508.245313072694,-1.0,False,,,2022-12-21T19:15:00+00:00,2022-12-22T12:15:00+00:00,11254.709,11284.409,11182.309,11205.739,True,True,none
2023-01-06T13:30:00+00:00,2023-01-06T13:45:00+00:00,SHORT,BOS,10696.7294327456,10799.089,-10235956.725439973,SL,64.16104038620688,-102.35956725439974,10760.890473131807,10536.326831780083,-1.595353919423112,False,,,2023-01-06T13:30:00+00:00,2023-01-06T13:45:00+00:00,10686.139,10870.279,10799.089,10892.899,True,True,none
2023-01-18T15:30:00+00:00,2023-01-18T15:45:00+00:00,LONG,BOS,11582.595333286923,11553.27460502686,-2932072.8260063333,SL,29.320728260063333,-29.320728260063333,11553.27460502686,11655.897153937081,-1.0,False,,,2023-01-18T15:30:00+00:00,2023-01-18T15:45:00+00:00,11549.609,11651.839,11517.839,11572.399,True,True,none
2023-02-03T17:00:00+00:00,2023-02-06T09:00:00+00:00,LONG,BOS,12723.477238725283,12468.386368639445,-25509087.00858381,SL,255.0908700858381,-255.0908700858381,12468.386368639445,13361.204413939879,-1.0,False,,,2023-02-03T17:00:00+00:00,2023-02-06T09:00:00+00:00,12717.179,12779.389,12465.289,12488.319,True,True,none
2023-02-22T15:45:00+00:00,2023-02-22T19:00:00+00:00,SHORT,BOS,12076.694153084241,12157.422046449174,-8072789.336493224,SL,80.72789336493224,-80.72789336493224,12157.422046449174,11874.87441967191,-1.0,False,,,2023-02-22T15:45:00+00:00,2023-02-22T19:00:00+00:00,12040.049,12081.987,12069.027,12159.789,True,True,none
