entry_time,exit_time,direction,setup_type,entry_price,exit_price,pnl,exit_reason,risk_distance,realized_distance,planned_sl,planned_tp,R,partial_tp_hit,partial_exit_time,partial_exit_price,entry_bar_time,exit_bar_time,entry_bar_low,entry_bar_high,exit_bar_low,exit_bar_high,entry_feasible,exit_feasible,violated_side
2021-01-21T19:30:00+00:00,2021-01-25T16:00:00+00:00,LONG,BOS,13408.145879677826,13276.630686212888,-13151519.346493842,SL,131.51519346493842,-131.51519346493842,13276.630686212888,13671.176266607703,-1.0,False,,,2021-01-21T19:30:00+00:00,2021-01-25T16:00:00+00:00,13396.589,13414.817,13199.039,13394.797,True,True,none
2021-02-05T18:00:00+00:00,2021-02-15T00:00:00+00:00,LONG,BOS,13624.277173882445,13843.312631283472,21903545.74010271,TP,109.51772870051354,219.0354574010271,13514.759445181931,13843.312631283472,2.0,False,,,2021-02-05T18:00:00+00:00,2021-02-15T00:00:00+00:00,13622.349,13644.689,13827.349,13867.599,True,True,none
2021-02-18T14:30:00+00:00,2021-02-18T20:30:00+00:00,SHORT,BOS,13565.482010023885,13671.314723690164,-10583271.366627924,SL,105.83271366627923,-105.83271366627923,13671.314723690164,13353.816582691326,-1.0,False,,,2021-02-18T14:30:00+00:00,2021-02-18T20:30:00+00:00,13527.059,13586.029,13632.239,13673.809,True,True,none
2021-03-05T16:30:00+00:00,2021-03-05T20:00:00+00:00,SHORT,BOS,12329.124667198454,12682.563086478582,-35343841.92801281,SL,353.4384192801281,-353.4384192801281,12682.563086478582,11622.247828638197,-1.0,False,,,2021-03-05T16:30:00+00:00,2021-03-05T20:00:00+00:00,12235.909,12371.129,12633.419,12689.687,True,True,none
2021-03-25T16:30:00+00:00,2021-03-26T05:30:00+00:00,SHORT,BOS,12786.36511452282,12875.214890606072,-8884977.608325243,SL,88.84977608325244,-88.84977608325244,12875.214890606072,12608.665562356315,-1.0,False,,,2021-03-25T16:30:00+00:00,2021-03-26T05:30:00+00:00,12747.679,12790.199,12856.499,12882.997,True,True,none
2021-04-06T17:00:00+00:00,2021-04-07T13:30:00+00:00,LONG,BOS,13612.452050690654,13532.02269416054,-8042935.65301141,SL,80.42935653011409,-80.42935653011409,13532.02269416054,13773.310763750882,-1.0,False,,,2021-04-06T17:00:00+00:00,2021-04-07T13:30:00+00:00,13556.199,13628.389,13521.349,13592.589,True,True,none
2021-04-07T14:30:00+00:00,2021-04-08T14:00:00+00:00,LONG,BOS,13622.568685064824,13762.132080395113,13956339.533028949,TP,69.78169766514475,139.5633953302895,13552.786987399679,13762.132080395113,2.0,False,,,2021-04-07T14:30:00+00:00,2021-04-08T14:00:00+00:00,13600.549,13629.599,13699.919,13763.009,True,True,none
2021-05-05T19:30:00+00:00,2021-05-07T01:30:00+00:00,SHORT,BOS,13530.597390307663,13663.181181666712,-13258379.135904944,SL,132.58379135904943,-132.58379135904943,13663.181181666712,13265.429807589564,-1.0,False,,,2021-05-05T19:30:00+00:00,2021-05-07T01:30:00+00:00,13483.619,13531.897,13651.109,13664.069,True,True,none
2021-06-24T16:30:00+00:00,2021-06-25T14:00:00+00:00,LONG,BOS,14373.233288120584,14336.704688282467,-3652859.9838116863,SL,36.52859983811686,-36.52859983811686,14336.704688282467,14446.290487796818,-1.0,False,,,2021-06-24T16:30:00+00:00,2021-06-25T14:00:00+00:00,14373.189,14419.199,14323.519,14381.379,True,True,none
2021-07-23T15:00:00+00:00,2021-07-27T14:00:00+00:00,LONG,BOS,15031.057924395553,14965.087283673547,-6597064.072200555,SL,65.97064072200556,-65.97064072200556,14965.087283673547,15162.999205839564,-1.0,False,,,2021-07-23T15:00:00+00:00,2021-07-27T14:00:00+00:00,15021.919,15069.887,14959.779,15066.999,True,True,none
2021-09-02T14:00:00+00:00,2021-09-02T17:00:00+00:00,LONG,BOS,15633.386905123565,15594.826228181271,-3856067.6942293867,SL,38.56067694229387,-38.56067694229387,15594.826228181271,15710.508259008153,-1.0,False,,,2021-09-02T14:00:00+00:00,2021-09-02T17:00:00+00:00,15617.049,15661.389,15590.379,15626.199,True,True,none
2021-09-30T17:00:00+00:00,2021-10-04T14:30:00+00:00,SHORT,BOS,14781.931307049614,14518.28774645011,26364356.059950296,TP,131.82178029975148,263.64356059950296,14913.753087349365,14518.28774645011,2.0,False,,,2021-09-30T17:00:00+00:00,2021-10-04T14:30:00+00:00,14719.009,14783.769,14418.789,14521.849,True,True,none
2021-10-28T16:30:00+00:00,2021-10-29T07:00:00+00:00,LONG,BOS,15705.92504719616,15630.354138411441,-7557090.8784719,SL,75.570908784719,-75.570908784719,15630.354138411441,15857.066864765598,-1.0,False,,,2021-10-28T16:30:00+00:00,2021-10-29T07:00:00+00:00,15701.809,15763.589,15629.809,15672.889,True,True,none
2021-10-29T14:00:00+00:00,2021-10-29T20:00:00+00:00,LONG,BOS,15681.38591231393,15859.339703627764,17795379.131383378,TP,88.9768956569169,177.9537913138338,15592.409016657013,15859.339703627764,2.0,False,,,2021-10-29T14:00:00+00:00,2021-10-29T20:00:00+00:00,15681.219,15719.299,15844.329,15860.089,True,True,none
2021-11-10T14:30:00+00:00,2021-11-15T13:00:00+00:00,SHORT,BOS,16128.32816341106,16265.511569587847,-13718340.617678586,SL,137.18340617678587,-137.18340617678587,16265.511569587847,15853.961351057489,-1.0,False,,,2021-11-10T14:30:00+00:00,2021-11-15T13:00:00+00:00,16047.319,16184.519,16237.039,16281.999,True,True,none
2021-11-19T15:00:00+00:00,2021-11-22T15:00:00+00:00,LONG,BOS,16584.364558620553,16764.469547782413,18010498.916186042,TP,90.05249458093022,180.10498916186043,16494.312064039623,16764.469547782413,2.0,False,,,2021-11-19T15:00:00+00:00,2021-11-22T15:00:00+00:00,16551.619,16620.899,16722.417,16768.799,True,True,none
2022-01-07T15:30:00+00:00,2022-01-10T15:00:00+00:00,SHORT,BOS,15653.172680322506,15225.800718156232,42737196.21662749,TP,213.68598108313745,427.3719621662749,15866.858661405644,15225.800718156232,2.0,False,,,2022-01-07T15:30:00+00:00,2022-01-10T15:00:00+00:00,15522.469,15687.099,15205.309,15285.189,True,True,none
2022-03-02T16:30:00+00:00,2022-03-04T00:30:00+00:00,LONG,BOS,14170.610631315221,13876.753261059777,-29385737.025544405,SL,293.85737025544404,-293.85737025544404,13876.753261059777,14758.32537182611,-1.0,False,,,2022-03-02T16:30:00+00:00,2022-03-04T00:30:00+00:00,14149.189,14229.319,13770.219,13972.809,True,True,none
2022-07-08T16:00:00+00:00,2022-07-11T13:30:00+00:00,LONG,BOS,12108.048718381318,11894.332185319363,-21371653.30619555,SL,213.7165330619555,-213.7165330619555,11894.332185319363,12535.48178450523,-1.0,False,,,2022-07-08T16:00:00+00:00,2022-07-11T13:30:00+00:00,12059.699,12162.289,11827.879,12033.169,True,True,none
2022-07-13T00:30:00+00:00,2022-07-13T12:00:00+00:00,SHORT,BOS,11764.437166523678,11928.321749543185,-16388458.301950777,SL,163.88458301950777,-163.88458301950777,11928.321749543185,11436.668000484662,-1.0,False,,,2022-07-13T00:30:00+00:00,2022-07-13T12:00:00+00:00,11748.329,11771.489,11790.649,11937.969,True,True,none
2022-07-13T14:30:00+00:00,2022-07-15T19:30:00+00:00,SHORT,BOS,11716.616586705484,11978.071651758275,-26145506.505279083,SL,261.4550650527908,-261.4550650527908,11978.071651758275,11193.706456599903,-1.0,False,,,2022-07-13T14:30:00+00:00,2022-07-15T19:30:00+00:00,11622.079,11805.099,11928.839,11984.319,True,True,none
2022-07-20T17:00:00+00:00,2022-07-22T13:30:00+00:00,LONG,BOS,12337.936060212627,12658.259296017122,32032323.58044952,TP,160.1616179022476,320.3232358044952,12177.77444231038,12658.259296017122,2.0,False,,,2022-07-20T17:00:00+00:00,2022-07-22T13:30:00+00:00,12331.019,12437.609,12538.649,12669.909,True,True,none
2022-09-16T14:00:00+00:00,2022-09-16T19:00:00+00:00,SHORT,BOS,11765.018950622169,11861.550862132357,-9653191.151018836,SL,96.53191151018837,-96.53191151018837,11861.550862132357,11571.955127601792,-1.0,False,,,2022-09-16T14:00:00+00:00,2022-09-16T19:00:00+00:00,11716.909,11810.999,11813.289,11870.809,True,True,none
2022-12-13T17:30:00+00:00,2022-12-14T16:00:00+00:00,LONG,BOS,11729.461448069049,11924.389255949658,19492780.78806092,TP,97.46390394030459,194.92780788060918,11631.997544128744,11924.389255949658,2.0,False,,,2022-12-13T17:30:00+00:00,2022-12-14T16:00:00+00:00,11715.389,11780.837,11889.539,11929.789,True,True,none
